"Fechas","Producción interna de acero","Exportación de acero","Importación de acero","Disponibilidades de acero","Producción de cemento","Exportaciones de cemento","Importaciones de cemento","Estadísticas Generales. Consumo aparente de cemento"
"NOV 2003",1444,578.9,903.2,1768.4,3890.24,87.730,216.431,3890.69
"DIC 2003",1204,579.1,795.1,1419.8,3348.22,95.532,121.773,3195.82
"ENE 2004",1300,455.3,979.4,1823.9,3112.00,116.980,175.564,3421.53
"FEB 2004",1190,431.3,996.3,1755.4,3801.62,85.802,182.803,3754.92
"MAR 2004",1609,609.2,975.4,1975.6,4031.41,126.110,235.155,4304.59
"ABR 2004",1639,595.9,1066.7,2109.4,3775.80,151.238,188.130,3903.76
"MAY 2004",1711,542.1,942.6,2111.6,4175.66,159.466,199.996,4105.43
"JUN 2004",1569,609.7,1031.2,1990.9,4233.21,148.153,240.388,4471.37
"JUL 2004",1231,596.0,1014.0,1648.7,4316.86,105.481,254.733,4429.12
"AGO 2004",1508,368.0,757.1,1896.7,3692.75,148.135,186.052,3545.31
"SEP 2004",1512,528.1,1095.8,2079.9,3891.38,113.083,229.657,4290.86
"OCT 2004",1623,586.4,970.2,2006.5,3987.78,115.949,232.821,3950.69
"NOV 2004",1541,622.3,1176.2,2095.0,3982.34,148.435,240.519,4445.74
"DIC 2004",1251,491.3,988.4,1748.0,3592.68,98.777,204.793,3382.23
"ENE 2005",1524,474.2,995.1,2045.3,3445.86,114.854,166.271,3427.64
"FEB 2005",1408,573.8,1046.4,1880.2,3740.77,104.535,197.529,3864.83
"MAR 2005",1625,628.9,1119.3,2115.4,4203.55,154.510,267.463,4340.21
"ABR 2005",1644,557.7,1029.3,2115.8,4404.34,140.364,177.312,4703.95
"MAY 2005",1640,655.1,995.2,1979.8,4496.70,137.615,348.624,4710.61
"JUN 2005",1593,529.9,857.2,1920.0,4559.55,130.736,259.504,4774.82
"JUL 2005",1217,540.6,767.0,1443.1,4614.21,104.508,348.100,4514.80
"AGO 2005",1366,400.5,758.7,1724.0,4054.43,105.897,244.605,4104.22
"SEP 2005",1573,546.1,872.0,1898.8,4328.78,137.836,244.440,4612.51
"OCT 2005",1645,551.6,849.0,1942.4,4377.70,112.727,180.319,4208.40
"NOV 2005",1465,612.8,983.8,1835.6,4242.81,122.801,224.487,4557.72
"DIC 2005",1205,503.7,1030.4,1732.2,3843.27,80.696,230.338,3689.93
"ENE 2006",1276,530.1,1021.7,1767.6,3853.23,93.075,198.604,3957.43
"FEB 2006",1214,507.6,1127.2,1833.4,4149.49,108.098,231.631,4365.15
"MAR 2006",1709,606.5,1285.9,2387.9,4755.97,115.348,298.916,5296.03
"ABR 2006",1687,539.2,1114.8,2262.3,4487.39,94.499,313.730,4286.77
"MAY 2006",1788,624.4,1281.3,2444.8,4819.34,97.325,303.246,5179.23
"JUN 2006",1662,628.9,1269.0,2301.9,4832.08,93.689,311.597,5288.58
"JUL 2006",1344,502.2,1105.7,1947.5,4939.26,98.628,277.294,4937.42
"AGO 2006",1594,467.6,1135.0,2261.5,4349.65,74.642,273.234,4362.33
"SEP 2006",1674,565.5,1280.3,2388.5,4471.64,94.800,282.665,4691.01
"OCT 2006",1664,635.2,1303.9,2333.1,4619.43,104.591,273.444,4761.77
"NOV 2006",1467,615.3,1279.4,2131.0,4465.62,74.935,232.451,4883.06
"DIC 2006",1313,534.2,1027.7,1806.8,4305.17,77.224,167.623,3887.61
"ENE 2007",1425,572.6,1305.2,2157.3,4196.13,91.202,229.508,4541.84
"FEB 2007",1389,616.8,1206.6,1979.2,4249.46,83.289,274.374,4535.95
"MAR 2007",1761,620.0,1232.6,2374.0,5122.79,89.460,243.154,5261.77
"ABR 2007",1635,624.2,1391.7,2402.2,4524.60,94.817,277.789,4406.00
"MAY 2007",1753,680.6,1445.3,2517.3,4782.92,95.645,260.196,5071.63
"JUN 2007",1757,703.2,1499.7,2553.2,4938.92,105.377,185.635,5069.44
"JUL 2007",1340,741.5,1322.3,1920.5,4948.08,91.305,241.272,5130.64
"AGO 2007",1543,503.0,969.2,2008.8,4349.96,78.488,270.402,4264.65
"SEP 2007",1637,727.7,1341.6,2251.3,4433.87,90.664,246.213,4445.69
"OCT 2007",1773,662.2,1263.0,2373.9,4561.30,102.613,226.953,4967.35
"NOV 2007",1592,754.0,1086.4,1924.3,4564.61,93.434,221.138,4857.85
"DIC 2007",1395,564.0,920.0,1750.7,4047.83,74.990,176.984,3444.26
"ENE 2008",1570,622.6,1164.5,2111.7,3722.31,102.178,153.015,4189.54
"FEB 2008",1454,650.9,1217.4,2020.6,4252.35,90.596,159.754,4306.24
"MAR 2008",1852,659.5,1114.6,2307.6,4248.19,86.423,103.384,3934.07
"ABR 2008",1925,868.7,1222.4,2278.4,3946.26,100.097,173.311,4308.71
"MAY 2008",1980,827.6,1228.2,2380.5,3959.29,120.062,304.661,4002.23
"JUN 2008",1819,867.2,899.5,1850.8,3432.70,165.419,175.832,3392.01
"JUL 2008",1470,867.3,1104.9,1708.0,3769.95,111.941,177.978,4036.81
"AGO 2008",1719,701.5,849.5,1866.9,3275.67,90.664,91.449,2962.20
"SEP 2008",1688,859.7,1061.2,1889.5,3182.18,138.770,145.057,3351.97
"OCT 2008",1356,853.6,804.9,1307.1,3244.85,130.141,88.539,3272.61
"NOV 2008",1080,784.2,656.1,952.1,2959.38,125.171,106.311,2860.49
"DIC 2008",727,713.4,446.8,460.7,2090.28,88.337,64.576,2078.66
"ENE 2009",929,443.9,385.8,870.6,1848.67,104.752,48.177,1867.50
"FEB 2009",989,589.7,501.0,900.1,2279.27,119.041,42.781,2285.98
"MAR 2009",1189,636.2,415.8,968.2,2680.42,151.321,58.237,2543.68
"ABR 2009",1172,847.9,669.9,994.3,2357.05,155.019,51.522,2355.49
"MAY 2009",1311,821.7,638.6,1127.9,2760.92,107.945,81.336,2506.84
"JUN 2009",1182,776.9,575.3,980.5,2631.47,162.169,82.735,2728.98
"JUL 2009",929,660.9,585.8,853.4,2746.28,133.149,69.479,2854.36
"AGO 2009",1118,578.8,468.4,1007.2,2668.05,88.898,58.500,2388.96
"SEP 2009",1416,663.7,689.5,1442.2,2587.41,154.976,88.049,2628.38
"OCT 2009",1586,714.7,646.9,1518.0,2596.53,138.328,52.292,2563.06
"NOV 2009",1503,766.6,803.7,1540.3,2630.43,88.391,61.072,2559.87
"DIC 2009",1039,668.6,611.8,981.8,1718.09,77.728,34.536,1630.06
"ENE 2010",1342,631.4,670.6,1380.7,1536.35,114.597,47.777,1487.37
"FEB 2010",1326,686.7,729.6,1368.4,1798.65,166.873,47.976,1700.14
"MAR 2010",1616,861.0,794.2,1549.4,2063.02,172.697,67.470,2126.15
"ABR 2010",1596,930.9,766.6,1431.6,2262.42,290.677,57.829,2140.80
"MAY 2010",1646,814.7,756.8,1588.4,2650.83,189.264,59.362,2324.43
"JUN 2010",1433,902.6,799.4,1329.5,2525.12,286.556,71.651,2436.45
"JUL 2010",994,921.5,711.4,783.4,2671.53,249.397,47.316,2421.20
"AGO 2010",1226,645.8,532.6,1112.5,2400.33,242.153,36.555,2080.42
"SEP 2010",1389,805.8,781.9,1364.8,2207.00,232.209,47.238,2151.62
"OCT 2010",1419,934.9,799.4,1283.4,2314.38,212.474,61.384,2086.16
"NOV 2010",1337,839.3,625.8,1123.6,2111.19,192.815,48.662,1994.82
"DIC 2010",1021,721.1,720.2,1019.8,1620.84,178.634,61.092,1506.45
"ENE 2011",1356,656.7,691.8,1390.7,1683.40,138.369,21.038,1499.08
"FEB 2011",1364,845.0,893.0,1412.1,1835.08,235.251,32.369,1762.78
"MAR 2011",1646,1190.8,858.2,1313.8,2164.38,206.890,48.363,2060.00
"ABR 2011",1464,819.6,721.5,1366.2,2085.56,212.767,53.013,1823.91
"MAY 2011",1501,818.1,904.7,1588.0,2147.10,190.233,70.371,2008.57
"JUN 2011",1399,947.2,691.4,1142.7,1960.88,200.291,43.934,1875.76
"JUL 2011",948,743.2,822.6,1027.4,2101.89,246.102,51.561,1812.98
"AGO 2011",1173,592.0,534.1,1114.6,1837.64,154.034,28.327,1700.80
"SEP 2011",1307,735.3,781.6,1353.4,1738.68,207.431,22.244,1686.62
"OCT 2011",1358,810.1,736.2,1284.1,1838.60,223.981,30.934,1513.46
"NOV 2011",1223,869.2,633.2,987.0,1473.68,159.435,39.775,1490.78
"DIC 2011",818,848.6,602.3,571.6,1311.36,148.118,24.381,1206.38
"ENE 2012",1165,659.5,617.5,1123.1,1369.36,197.200,35.854,1137.86
"FEB 2012",1207,778.4,789.3,1217.7,1322.94,203.604,22.065,1152.83
"MAR 2012",1376,1027.1,766.8,1115.8,1499.54,222.147,40.285,1293.13
"ABR 2012",1256,692.9,672.6,1236.0,1375.89,254.972,32.973,1076.53
"MAY 2012",1315,918.6,667.9,1064.0,1434.28,301.183,31.790,1291.09
"JUN 2012",1228,787.9,708.4,1148.4,1552.30,267.634,50.851,1281.02
"JUL 2012",994,771.7,548.1,770.8,1490.34,270.620,38.284,1258.73
"AGO 2012",934,602.4,619.9,952.0,1352.02,208.764,28.715,1156.49
"SEP 2012",1196,874.5,596.7,918.2,1278.52,210.058,26.096,1042.25
"OCT 2012",1097,972.3,634.4,759.2,1234.37,188.750,20.869,1129.72
"NOV 2012",1054,854.8,671.1,870.6,1087.93,201.315,28.426,997.65
"DIC 2012",816,717.6,460.6,559.5,941.48,134.377,24.205,779.30
"ENE 2013",1081,765.4,684.8,1000.1,940.57,194.337,18.194,870.78
"FEB 2013",1149,780.2,687.8,1056.2,1007.06,160.787,18.723,839.60
"MAR 2013",1291,823.3,640.2,1107.9,1068.46,276.495,24.339,756.00
"ABR 2013",1359,880.4,701.0,1179.1,1114.35,265.141,19.706,910.00
"MAY 2013",1347,931.3,679.7,1095.0,1266.49,298.568,30.543,1007.54
"JUN 2013",1207,831.5,658.5,1033.9,1332.94,334.839,33.445,987.34
"JUL 2013",907,838.6,619.9,688.0,1250.28,299.384,21.980,1051.32
"AGO 2013",1069,555.8,471.5,984.3,1271.33,309.453,23.597,846.51
"SEP 2013",1337,953.3,785.5,1169.5,1157.62,357.773,22.981,903.66
"OCT 2013",1309,903.7,619.1,1024.4,1168.98,265.858,44.844,986.45
"NOV 2013",1263,796.9,545.2,1011.4,1153.87,269.137,18.208,878.44
"DIC 2013",938,815.1,511.9,634.5,999.93,295.567,22.894,705.35
"ENE 2014",1121,786.0,728.2,1063.0,970.76,273.949,35.075,729.45
"FEB 2014",1195,757.6,768.7,1206.2,1067.58,336.216,28.852,748.29
"MAR 2014",1333,893.4,732.5,1172.2,1264.10,365.461,13.426,875.82
"ABR 2014",1261,895.5,734.0,1099.6,1222.57,444.475,34.896,849.11
"MAY 2014",1352,851.5,693.0,1193.2,1406.26,411.536,19.305,971.35
"JUN 2014",1317,792.5,688.2,1212.4,1378.71,404.083,30.996,1007.18
"JUL 2014",1010,810.2,678.2,878.5,1332.10,323.906,35.382,1122.98
"AGO 2014",1023,562.6,493.7,953.8,1291.60,310.788,23.551,861.79
"SEP 2014",1177,854.6,741.0,1063.5,1173.78,331.527,25.715,952.51
"OCT 2014",1291,965.5,722.7,1048.0,1282.49,351.445,39.102,1050.32
"NOV 2014",1245,840.2,649.1,1053.7,1262.12,289.547,21.866,886.34
"DIC 2014",924,820.9,643.0,746.2,901.97,248.405,35.755,775.51
"ENE 2015",1275,759.0,633.7,1149.6,977.42,224.668,27.651,755.38
"FEB 2015",1194,766.6,804.9,1231.8,1026.35,225.358,29.691,822.22
"MAR 2015",1400,944.8,752.7,1208.1,1316.96,345.527,29.486,999.98
"ABR 2015",1350,841.6,840.9,1349.4,1277.43,361.894,37.322,978.81
"MAY 2015",1404,873.3,790.5,1321.0,1500.66,401.376,33.203,1044.00
"JUN 2015",1300,867.0,760.9,1194.3,1304.64,313.765,33.194,1058.16
"JUL 2015",966,673.6,722.5,1014.4,1310.04,331.454,40.881,1075.76
"AGO 2015",1184,520.2,588.2,1251.9,1341.06,346.360,31.571,901.56
"SEP 2015",1303,799.1,880.6,1384.3,1199.90,336.682,45.300,1007.49
"OCT 2015",1328,998.1,847.2,1177.0,1371.93,385.244,26.101,1009.54
"NOV 2015",1213,821.2,751.9,1143.6,1320.84,339.507,31.428,1002.64
"DIC 2015",941,765.5,601.6,777.5,1129.74,327.720,30.070,836.45
"ENE 2016",1185,661.5,673.3,1196.8,1038.38,279.411,27.903,732.24
"FEB 2016",1141,802.8,744.7,1083.4,1113.04,294.031,25.897,876.47
"MAR 2016",1196,906.1,796.1,1086.5,1235.76,403.318,41.410,914.98
"ABR 2016",1231,905.6,816.6,1141.8,1285.25,399.357,36.181,940.65
"MAY 2016",1284,941.0,849.8,1193.2,1368.36,444.108,24.488,957.93
"JUN 2016",1170,822.2,838.4,1186.1,1390.89,361.208,27.418,1042.48
"JUL 2016",928,730.2,707.0,904.7,1361.46,379.839,31.948,987.39
"AGO 2016",1122,626.0,502.4,998.6,1286.46,329.922,25.824,955.04
"SEP 2016",1177,836.3,854.6,1195.7,1227.34,327.526,37.551,1004.54
"OCT 2016",1169,822.5,958.9,1305.1,1386.92,389.768,14.344,948.23
"NOV 2016",1108,677.0,954.8,1385.4,1301.47,346.369,35.448,1001.69
"DIC 2016",946,660.9,724.7,1010.0,1060.24,303.215,26.322,796.18
"ENE 2017",1179,673.4,922.5,1428.5,1066.43,284.867,24.339,835.41
"FEB 2017",1113,663.2,882.4,1332.4,1209.89,292.772,25.520,923.24
"MAR 2017",1366,834.9,916.6,1448.2,1387.81,400.033,35.458,1119.75
"ABR 2017",1224,642.0,831.0,1412.9,1441.78,389.920,23.838,917.83
"MAY 2017",1250,772.0,960.9,1438.6,1447.14,423.503,48.434,1139.00
"JUN 2017",1248,796.9,784.5,1236.0,1400.69,367.473,29.235,1133.72
"JUL 2017",999,645.4,728.5,1082.5,1413.67,320.972,35.064,1053.59
"AGO 2017",1130,537.8,680.7,1273.4,1315.59,298.881,13.001,993.62
"SEP 2017",1205,803.6,809.2,1211.0,1280.80,272.488,29.121,1048.52
"OCT 2017",1392,780.5,846.6,1458.6,1470.11,395.928,35.740,1124.80
"NOV 2017",1312,839.2,809.8,1282.2,1458.77,319.891,24.311,1208.44
"DIC 2017",1020,774.6,721.8,967.7,1189.16,247.982,31.325,895.03
"ENE 2018",1114,922.5,795.2,986.6,1188.66,298.608,28.350,1008.59
"FEB 2018",1107,804.7,828.7,1130.9,1246.58,339.165,51.735,992.75
"MAR 2018",1295,867.2,852.6,1280.4,1310.77,270.025,30.193,981.18
"ABR 2018",1347,973.7,872.1,1245.4,1305.08,287.055,46.562,1093.63
"MAY 2018",1374,1052.4,891.2,1212.7,1466.44,330.837,27.015,1251.35
"JUN 2018",1183,1006.6,887.5,1063.7,1548.88,315.267,42.496,1249.71
"JUL 2018",951,986.7,695.4,659.3,1555.18,349.682,53.334,1236.48
"AGO 2018",1187,631.2,585.1,1141.3,1417.63,322.776,42.762,1106.77
"SEP 2018",1187,843.2,780.6,1124.4,1396.41,281.892,25.900,1130.26
"OCT 2018",1326,937.7,873.9,1262.2,1442.60,305.384,48.711,1270.50
"NOV 2018",1201,960.3,883.7,1124.3,1380.32,274.864,27.088,1153.49
"DIC 2018",1049,774.6,703.3,977.8,1309.91,222.363,32.713,986.38
"ENE 2019",1159,780.0,783.6,1162.2,1219.10,249.713,48.704,1141.91
"FEB 2019",1155,788.9,832.2,1198.0,1366.84,295.443,56.132,1170.14
"MAR 2019",1377,1000.8,859.3,1235.8,1653.94,284.519,58.817,1290.08
"ABR 2019",1300,942.3,787.9,1145.4,1432.48,326.353,62.379,1205.62
"MAY 2019",1256,1027.2,922.6,1151.2,1562.83,283.138,40.192,1384.40
"JUN 2019",1218,784.5,787.9,1220.9,1621.61,293.743,65.614,1278.19
"JUL 2019",922,1055.8,747.5,613.4,1593.85,305.623,43.592,1372.36
"AGO 2019",1031,638.4,613.2,1006.3,1448.43,296.765,59.039,1160.47
"SEP 2019",1180,887.2,790.1,1082.8,1388.01,221.400,30.479,1221.18
"OCT 2019",1206,928.1,861.5,1139.9,1498.26,279.973,70.111,1389.15
"NOV 2019",1019,832.6,773.7,960.1,1462.85,226.628,34.214,1159.76
"DIC 2019",765,620.4,734.7,879.7,1216.27,203.833,35.278,947.13
"ENE 2020",982,876.0,739.5,845.5,1083.81,234.517,53.127,1037.55
"FEB 2020",1105,835.4,772.9,1042.8,1415.75,268.068,42.634,1155.97
"MAR 2020",1162,763.8,709.1,1107.2,1349.14,281.869,57.984,942.30
"ABR 2020",626,605.9,526.3,546.7,595.09,188.692,31.088,606.23
"MAY 2020",805,711.5,615.1,708.2,1440.26,278.543,65.190,1162.99
"JUN 2020",835,645.7,618.2,807.8,1548.04,331.762,54.207,1319.88
"JUL 2020",687,775.8,681.8,593.2,1502.18,347.143,69.786,1348.05
"AGO 2020",712,638.8,478.9,551.8,1581.72,308.164,51.545,1115.59
"SEP 2020",985,755.8,710.5,939.6,1400.83,285.812,57.567,1274.66
"OCT 2020",1178,851.9,736.4,1062.1,1555.63,374.632,52.593,1246.34
"NOV 2020",1170,780.4,748.8,1138.2,1471.43,270.400,58.408,1181.45
"DIC 2020",896,685.0,618.8,829.5,1232.99,230.836,55.357,1030.96
"ENE 2021",1052,793.8,590.6,848.7,1094.79,278.679,41.797,836.36
"FEB 2021",1088,847.0,731.9,973.2,1323.41,298.365,57.337,1114.05
"MAR 2021",1319,838.4,982.8,1463.3,1589.97,367.953,44.965,1378.99
"ABR 2021",1306,1031.2,874.0,1148.8,1589.77,398.602,69.194,1238.71
"MAY 2021",1351,914.2,805.8,1242.9,1790.24,405.346,72.764,1366.02
"JUN 2021",1312,876.0,927.5,1363.8,1739.61,421.264,54.254,1374.41
"JUL 2021",1094,847.1,869.7,1117.0,1706.88,380.088,52.283,1344.85
"AGO 2021",1109,731.2,632.5,1010.2,1520.29,336.738,62.846,1200.62
"SEP 2021",1260,740.9,795.6,1314.2,1504.93,360.888,37.291,1300.73
"OCT 2021",1290,1095.4,777.0,971.4,1644.74,362.136,37.599,1271.28
"NOV 2021",1173,745.7,739.4,1167.0,1519.39,315.617,61.624,1319.12
"DIC 2021",865,609.3,734.2,990.4,1452.93,275.546,39.179,1257.18
"ENE 2022",1007,1117.6,661.9,551.4,1371.95,313.245,39.251,1028.97
"FEB 2022",990,798.0,746.1,938.1,1552.59,330.538,43.351,1257.00
"MAR 2022",1021,787.0,729.3,963.8,1413.32,395.154,66.426,1176.15
"ABR 2022",1125,1058.2,713.7,780.3,1658.17,349.347,25.933,1334.70
"MAY 2022",1248,847.7,816.0,1216.1,1760.95,391.337,85.721,1333.04
"JUN 2022",1016,825.2,841.4,1032.0,1629.08,349.843,58.274,1375.99
"JUL 2022",944,959.0,658.5,643.7,1567.04,335.250,50.506,1223.24
"AGO 2022",677,579.4,451.7,549.3,1413.05,335.886,52.031,1146.42
"SEP 2022",1022,632.4,679.0,1068.1,1497.00,347.900,41.734,1248.15
"OCT 2022",988,767.2,628.4,849.3,1699.74,360.494,47.765,1254.29
"NOV 2022",872,780.6,657.9,748.9,1526.18,363.657,43.656,1336.88
"DIC 2022",664,666.8,522.5,519.3,1355.10,299.127,41.436,1166.96
"ENE 2023",801,828.0,573.3,546.1,1430.34,335.151,51.807,1065.53
"FEB 2023",996,767.8,602.0,829.9,1463.72,352.761,49.064,1175.46
"MAR 2023",1190,942.6,821.2,1068.3,1710.78,386.451,49.506,1440.46
"ABR 2023",986,967.9,672.3,690.5,1624.93,379.567,53.513,1184.73
"MAY 2023",1014,1003.7,706.9,717.0,1648.71,377.582,70.679,1359.73
"JUN 2023",919,936.4,704.9,687.0,1558.60,396.497,52.118,1304.81
"JUL 2023",829,930.1,589.9,488.9,1614.61,324.263,55.976,1202.01
"AGO 2023",857,624.8,420.8,652.9,1333.99,305.251,40.312,1066.08
"SEP 2023",1000,780.9,680.6,900.0,1391.46,320.204,49.501,1138.30
"OCT 2023",1063,1137.9,635.7,560.7,1472.79,293.373,63.617,1197.50
"NOV 2023",1041,699.8,717.8,1058.9,1452.39,288.037,43.617,1291.56
"DIC 2023",751,523.9,511.0,738.0,1264.99,225.177,57.058,1056.96
"ENE 2024",980,1243.5,634.9,371.4,1210.63,218.532,54.619,1054.72
"FEB 2024",949,678.3,662.1,932.7,1440.19,292.868,55.264,1168.49
"MAR 2024",1019,784.0,625.0,859.7,1481.32,337.466,54.938,1101.81
"ABR 2024",1122,1337.9,690.7,475.0,1411.62,323.490,54.085,1259.41
"MAY 2024",1107,859.0,739.0,987.0,1546.30,363.723,66.116,1304.63
"JUN 2024",1062,767.2,676.9,972.0,1593.53,307.099,58.334,1214.85
"JUL 2024",797,1137.0,670.8,330.4,1556.52,388.919,50.393,1317.63
"AGO 2024",893,584.4,474.6,783.2,1367.91,269.571,50.600,1026.40
"SEP 2024",1036,658.9,614.7,992.2,1453.79,316.301,55.218,1219.32
"OCT 2024",1073,1224.2,753.7,602.5,1644.28,344.475,48.160,1415.25
"NOV 2024",1001,633.9,651.6,1018.6,1619.71,296.233,64.472,1348.14
"DIC 2024",834,525.7,515.9,824.0,1420.91,241.045,50.915,1191.06
"ENE 2025",1033,1070.5,656.6,619.1,1264.65,258.298,35.664,1103.30
"FEB 2025",1052,706.2,736.3,1082.1,1424.24,239.349,66.112,1259.16
"MAR 2025",NA,NA,NA,NA,1500.45,292.708,55.706,1199.89
"ABR 2025",NA,NA,NA,NA,1434.52,246.750,52.812,1240.89
"MAY 2025",NA,NA,NA,NA,1617.17,284.805,53.084,1408.22
"JUN 2025",NA,NA,NA,NA,1712.92,299.159,53.873,1410.96